,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,WY,DOWY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYI,SJR_WYT,8RI,SHA_in_tr,ORO_in_tr,FOL_in_tr,SHA_fci,ORO_fci,FOL_fci,BND_swe,gains_sim,OMR_sim
2039-10-01,0.24692244306195435,1.3137312224087987,0.1539697916165223,0.2617533774886945,0.3066007356709812,0.3566457310978148,0.30553242700631744,0.3957723837382166,0.03589468974676267,0.2464617000852336,4.0518749982302,0.4917834216346167,0.022872346,0.049158663,2.1908286,0.029989887000000007,550.5646115200001,568.7508424600002,594.22742036,,,1.7445762e-10,,2.4406845e-09,2040,1,2.9500854604336078,C,C,,C,0.001580500334143374,287.87452675004783,1353.5958809229994,782.3923167902003,100000.0,0.0,0.0,,0.0,-226.2
2039-10-02,0.25192316514086205,1.323818976233693,0.15447218014028152,0.2632604835946504,0.3093461929451475,0.35784953574573763,0.30973118842861475,0.39686954724236645,0.036035418678340744,0.24889765451780704,4.142885625532711,0.49523617643644147,0.032575276,0.05891143,1.8075153,0.028709622,548.6214244,568.05343948,588.8302607600002,,,0.0,,0.0,2040,2,2.9500854604336078,C,C,,C,0.001580500334143374,287.9595528232794,1353.6015476977302,782.3944034662885,95004.14288562554,0.05891143,0.032575276,,0.0,-226.2
2039-10-03,0.2451492296409144,1.3158445349953418,0.15413232166774743,0.2624809781762269,0.30785936168224565,0.3570327370754955,0.3061779655497569,0.3959681945478795,0.03597591654466836,0.24727773420133822,3.9524086740082747,0.49182954973424664,0.0,0.0,0.0,0.0,555.9149117200001,571.1556565000001,593.93360744,,,0.0,,0.0,2040,3,2.9500854604336078,C,C,,C,0.001580500334143374,287.78160099820946,1353.5970680719497,782.3915768726471,90257.88815001828,0.0571440871,0.031598017719999996,,0.0,-226.2
2039-10-04,0.23794360422147154,1.3071851098834195,0.15378965416667847,0.26167159851280064,0.3063059575757404,0.3561256643833871,0.30258045516456317,0.3950132947469468,0.035914296312866884,0.24548510960025144,3.8997086482399688,0.48794476521108787,0.0,0.0,0.0,0.0,557.5111023999999,576.72379054,599.48542952,,,0.0,,0.0,2040,4,2.9500854604336078,C,C,,C,0.001580500334143374,287.7323663496515,1353.5922036579027,782.3885701456134,85748.8934511656,0.055429764486999995,0.030650077188399995,,0.0,-226.2
2039-10-05,0.232208343834154,1.2993091262278882,0.15346318954996083,0.26090041823943005,0.3048173989868242,0.3552552619730594,0.29926214862366096,0.3941301780844804,0.035854689406960835,0.2437938875312547,3.861444395676588,0.48479947443982246,0.0,0.0,0.0,0.0,555.53318212,573.6913665399999,595.8048212,,,0.0,,0.0,2040,5,2.9500854604336078,C,C,,C,0.001580500334143374,287.6966182261956,1353.5877793404645,782.3861769650845,81465.31022300299,0.053766871552389996,0.029730574872747995,,0.0,-226.2
2039-10-06,0.2274516561092123,1.2924591459080779,0.15317003967186468,0.2601960090274022,0.3034572571761901,0.3544719337839483,0.2963030409432899,0.3933423758378239,0.03580038907310553,0.24230702795153294,3.833263131217312,0.4822075509631967,0.013095332,4.637597e-05,0.0,0.0015346281,556.3302808,572.504158,593.7377321600001,,,0.0,,0.0,2040,6,2.9500854604336078,C,C,,C,0.001580500334143374,287.6702900673125,1353.5839313782665,782.3841921184207,77395.87797498406,0.052200241375818295,0.041933989626565554,,0.0,-84.3
2039-10-07,0.2864864206690132,1.296675831877377,0.15291752726201838,0.25961993164319674,0.30250181935567905,0.35448651694620087,0.2941477628296432,0.3963938813015543,0.03575597414108006,0.2459745941491787,3.851287492177479,0.5163695288364335,4.0957685,0.9307235,1.2816173,3.9167821,549.3992249199999,569.6415352,587.28583016,,,0.0,,0.0,2040,7,2.9500854604336078,C,C,,C,0.001580500334143374,287.6871292066567,1353.5863000928398,782.4088258472369,73529.93536372703,0.9813577341345437,4.136444469937769,,0.0,-56.6
2039-10-08,0.34526596573098456,2.042520536773638,0.15800709053170497,0.25909813760275463,0.3312088733586863,0.3683472888060779,0.3262439437401422,0.395948372773944,0.03738993393685915,0.262405966920291,6.237353878130071,0.7774368180955806,7.692716000000001,13.296753,13.105562,14.653408,547.6821826,562.7974924,583.4808584000001,,,7.536207000000002e-06,,0.0,2040,8,2.9500854604336078,C,C,,C,0.001580500334143374,289.916295857635,1354.0052768046187,782.4333530793482,69859.6759494188,14.248670002110508,11.705067135839636,,0.0,-143.4
2039-10-09,0.29062325320617194,1.4398069359218681,0.15299068093456827,0.2585234477427247,0.3098173848284142,0.3564362857393663,0.3115830518169488,0.3944623626988195,0.03566645900998734,0.250402891713649,4.3281070772228,0.5778181890260996,0.0357519,0.020045761,0.0009987354,0.079676785,551.15052412,568.3881514600002,590.82099164,,,0.0,,0.0,2040,9,2.9500854604336078,C,C,,C,0.001580500334143374,288.1325947325842,1353.666703692855,782.4105520438541,66371.02025902508,13.841255663047193,11.389667021764446,,0.0,-339.6
2039-10-10,0.28370081014421755,1.402763325187528,0.15288302038527865,0.258043336061187,0.3096313433216196,0.35660314260067333,0.3101360906364772,0.3944480060711262,0.03562346558232124,0.2504082435926116,4.147390633362312,0.5551424477625465,0.0,1.257658e-05,0.0,0.0,550.8452992,569.8418060800001,593.3940632,,,0.0,,0.0,2040,10,2.9500854604336078,C,C,,C,0.001580500334143374,287.9637615968807,1353.6458945215677,782.4076634817262,63056.61663670719,13.426030569735776,11.047977011111511,,0.0,-397.1
2039-10-11,0.2719313770186353,1.3741253642250961,0.15270555887491613,0.25762512494796785,0.30853301882785356,0.3561612586260113,0.3066045584416688,0.39401911951680174,0.0355884433394592,0.2489181558954203,4.0461184435943105,0.53789487097441,0.0,8.507779000000001e-06,2.5042524e-07,0.0,547.39115788,566.8137271,590.6098523600002,,,0.0,,0.0,2040,11,2.9500854604336078,C,C,,C,0.001580500334143374,287.869148727167,1353.6298072065579,782.4027523920303,59907.831923315425,13.023258160422703,10.716537700778165,,0.0,-276.8
2039-10-12,0.2614135473329803,1.3540558747490423,0.1525224906342118,0.2576977009573917,0.3071623714770336,0.355558379371763,0.30310346682826134,0.3934692351910111,0.03555661240220078,0.24722690550960363,4.653450687673971,0.5251805905189624,0.05564987,0.19107154,4.924388,0.01881146,545.4984387999999,564.3486463600001,585.7301042,,,0.0,,0.0,2040,12,2.9500854604336078,C,C,,C,0.001580500334143374,288.43654483673737,1353.618533212585,782.3983635651052,56917.09377783732,12.82363195561002,10.45069143975482,,0.0,-356.6
