,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,WY,DOWY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYI,SJR_WYT,8RI,SHA_in_tr,ORO_in_tr,FOL_in_tr,SHA_fci,ORO_fci,FOL_fci,BND_swe,gains_sim,OMR_sim,SHA_snowpack,SHA_cum_flow_to_date,SHA_remaining_flow,SHA_slope,SHA_intercept,SHA_mean,SHA_std,ORO_snowpack,ORO_cum_flow_to_date,ORO_remaining_flow,ORO_slope,ORO_intercept,ORO_mean,ORO_std,FOL_snowpack,FOL_cum_flow_to_date,FOL_remaining_flow,FOL_slope,FOL_intercept,FOL_mean,FOL_std,octmar_flow_to_date,octmar_mean,octmar_std,aprjul_flow_to_date,aprjul_mean,aprjul_std,aprjul_slope,aprjul_intercept,WYI_sim,WYT_sim
1994-10-01,0.13637657225910582,0.7422017011859118,0.10532862626733946,0.17592587529730724,0.21433876642358962,0.26583731993565124,0.20746960652227395,0.28520219047131656,0.022311606417954034,0.17532259656659857,1.9713717113193787,0.3061774245903037,0.0,0.0,0.0,0.0,533.8953759999999,550.43207452,575.8601156000001,,,0.0,,0.0,1995,1,2.9425279049104813,C,C,,C,0.00029983191421302947,285.9308303920017,1353.274825403111,782.3461887667652,100000.0,0.0,0.0,,0.0,-226.2,,0.5671355304009802,289.79571805406164,0.0,0.0,0.0,0.0,,2.6841814673537776,364.6639339037621,0.0,0.0,0.0,0.0,,1.5517610329572777,549.0662814264127,0.0,0.0,0.0,0.0,,,,,,,,,4.596453451595959,C
1994-10-02,0.13733703293801014,0.7449334753903938,0.10548884032269486,0.17644010496180978,0.21505475062141316,0.2665989696288362,0.2091689516592423,0.28563356872259077,0.022335890685667714,0.17647467139236137,1.975794486108454,0.30667134647685723,0.0,0.0,0.0,0.0,539.14227052,556.95304054,579.8489804,,,0.0,,0.0,1995,2,2.9425279049104813,C,C,,C,0.00029983191421302947,285.9349623399319,1353.276359971589,782.3465895429532,95001.9757944861,0.0,0.0,,0.0,-226.2,,1.1342792564011468,289.2285743280615,38.1193555980361,5716.747221708076,5802.078247075021,1934.7080899998205,,5.368365978479738,361.9797493926361,48.68637903413354,3736.325771762524,4006.584031046351,1743.0647322182974,,3.1035228608425305,547.5145195985275,370.84287961991316,2550.894904410837,2790.761526927775,1346.8643556108714,,,,,,,,,4.596453451595959,C
1994-10-03,0.13713464378662826,0.7442605642056404,0.10545527982928236,0.1763420767251674,0.21493330902907687,0.2664938660759404,0.20862062815210589,0.2855662451980868,0.022332585945871817,0.17631567931433603,1.9758482801159998,0.306579232340442,0.0,0.0,0.054459047,0.0,538.0719105999999,555.1583836599999,574.18561664,,,0.0,,0.0,1995,3,2.9425279049104813,C,C,,C,0.00029983191421302947,285.9350125966256,1353.2759819651303,782.3465050910288,90253.85285304191,0.0,0.0,,0.0,-226.2,,1.7014230820840117,288.6614305023786,37.57597043315201,5711.817920275994,5795.625700428253,1935.6567348692968,,8.052549739840822,359.29556563127505,48.67546908954303,3732.5143808237654,4002.71207896724,1742.8682216125464,,4.655284521219834,545.9627579381502,370.59550771065904,2549.112172736792,2788.8187914687323,1346.843870368881,,,,,,,,,4.596453451595959,C
1994-10-04,0.13694678333808755,0.7502459036857899,0.1054213075092559,0.17623748626772498,0.2148132716979817,0.26637585412163534,0.20808607720714237,0.28549992085946585,0.02233007110302407,0.17614889628692462,2.0264286898215587,0.3078425813670546,0.07193605,1.2444053,3.3457682,0.8962023000000001,536.2855960000002,554.6754865,575.63071676,,,0.0,,0.0,1995,4,2.9425279049104813,C,C,,C,0.00029983191421302947,285.9822670079749,1353.279344217135,782.3464267015684,85743.18663907963,1.2444053,0.07193605,,0.0,-226.2,,2.2686606355247667,288.09419294893786,37.102726006389965,5706.713906563159,5789.1631826364355,1936.1937805581338,,10.736740170131492,356.61137520098436,48.66762619219588,3728.508433782429,3998.6625959754615,1742.8982740263073,,6.207046026113911,544.4109964332562,370.5600038919204,2547.3128741828673,2786.996528523267,1346.818326488666,,,,,,,,,4.596453451595959,C
1994-10-05,0.1522768602625954,0.7805269610097411,0.1054018706433266,0.1761394850361065,0.2148667011377054,0.26691568454876513,0.20770587347609884,0.2865781234424366,0.02234509095973689,0.1772990672585047,2.088786746576806,0.3256061079973701,3.9813135,4.9145675,4.3283896,5.8445373,536.5217956,553.2536105199999,573.1474166,,,0.0,,0.0,1995,5,2.9425279049104813,C,C,,C,0.00029983191421302947,286.04052460774534,1353.2963545381087,782.3528235587507,81458.11609387223,6.121640641000001,4.0510914685,,0.0,-226.2,,2.8360137412293347,287.5268398432333,36.56626386755803,5701.219864419201,5782.187106754312,1937.1157140655566,,13.420964339901722,353.9271510312141,48.66148468762271,3724.4900180175678,3994.610088697365,1742.8946816530045,,7.758820218989155,542.8592222403809,370.4677223709193,2545.480491473384,2785.104456770312,1346.7902055594388,,,,,,,,,4.596453451595959,C
1994-10-06,3.2552324578213225,3.9633363736398644,0.10609587950297719,0.1762276564390369,0.2191442429084161,0.4562387521871978,0.2548234289710098,0.5610442776396939,0.023276544867378603,0.5793879261927509,3.8104684949273957,3.154803150496752,45.64549,34.842426,19.62738,55.644024,537.1347856,550.8205084,573.079778,,,0.012093722,,0.0,1995,6,2.9425279049104813,C,C,,C,0.00029983191421302947,287.6489943299693,1355.0842911060938,783.6476092208746,77389.02075767354,40.780417421770004,49.575048724445004,,0.0,-84.3,,3.406557200096578,286.95629638436606,36.50963155473034,5694.481018510166,5775.259651234343,1937.3869149295886,,16.108734830131404,351.2393805409844,48.6517096778901,3720.605156060601,3990.670965627387,1743.0440553270396,,9.313162581768418,541.3048798776016,370.29192227726753,2543.6112027122813,2783.1214579259913,1346.7865911955155,,,,,,,,,4.596453451595959,C
1994-10-07,1.1430910104624343,1.8692866719713876,0.10566041674184289,0.17604043060855712,0.214839480073646,0.32713559153420607,0.22013528677685146,0.3996172106221767,0.022932529556132734,0.3288984254822891,2.5102796468338386,1.224358092950448,1.4180993999999998,0.6110061,0.57766503,1.1850659,534.89118928,551.60739334,575.16495488,,,1.0034676,,0.0,1995,7,2.9425279049104813,C,C,,C,0.00029983191421302947,286.4343015463958,1353.907963041355,782.7662654902169,73522.07999943668,40.1680109991169,49.505896662711656,,0.0,-56.6,,3.974691350967402,286.3881622334952,36.53246779368431,5687.074091881739,5767.916407789716,1936.7926431996038,,18.794172107674626,348.5539432634412,48.640290570183154,3716.7416237577913,3986.7440458179967,1742.93303936458,,10.86575682475428,539.7522856346158,370.2078272595297,2541.680268931664,2781.136130252478,1346.7690498757652,,,,,,,,,4.596453451595959,C
1994-10-08,0.7277367302010288,1.2983542347920316,0.10537865307405575,0.17590405523802155,0.2147873873826038,0.30285461843343725,0.21656273815924984,0.6358666651915558,0.022336224872838085,0.45223987525778536,2.5184528793377607,0.7885712175196674,0.0,2.8258875e-05,4.8177706e-05,0.0,538.96973368,557.36119972,583.2383516000001,,,0.9900818,,0.0,1995,8,2.9425279049104813,C,C,,C,0.00029983191421302947,286.4419373345011,1353.5872429321864,782.5929485509712,69848.49445234418,38.96299892801839,48.0207197628303,,0.0,-143.4,,4.542840647203037,285.8200129372596,36.484006852290285,5680.406785779879,5761.354796228923,1936.964438639921,,21.47897324615941,345.86914212495645,48.64796767946025,3712.902079542157,3982.9471172626495,1742.8411272080054,,12.418007298605026,538.200035160765,370.03002984077307,2539.845578057318,2779.1864373956946,1346.7227689541894,,,,,,,,,4.596453451595959,C
1994-10-09,0.9025282054606951,1.1862600533974479,0.10536497502946637,0.1758167750008788,0.21473576727947932,0.2951888643380508,0.2164283341554567,0.49799105756002565,0.022337495796773892,0.40289680874085365,2.429705513258289,0.9280961299789378,0.0,0.0,0.0,0.0,546.07590184,564.2088967,591.8337008,,,0.3537647,,0.0,1995,9,2.9425279049104813,C,C,,C,0.00029983191421302947,286.3590256980139,1353.5242742589198,782.6658846562141,66358.49943524023,37.79410896017784,46.580098169945394,,0.0,-339.6,,5.110825490606247,285.2520280938564,36.55266538772671,5673.623700663589,5754.6588830507035,1935.9506507246053,,24.163649488102386,343.18446588301344,48.633218869490406,3709.045304686492,3979.008471711565,1742.822512590216,,13.970402439110556,536.6476400202595,370.01041860739855,2538.0170678569816,2777.3452423615063,1346.7595701723408,,,,,,,,,4.596453451595959,C
1994-10-10,0.56371367023904,1.0722578050364162,0.10534041396025802,0.17572730735680273,0.2146260728725258,0.28956279969544646,0.21533492774404803,0.37113728037015437,0.02233594469571545,0.2586553878478915,2.2401855519908316,0.6837800047298216,0.0,0.0,0.0,0.0,548.7558412,567.4793332600001,595.8703610000001,,,0.0847963,,0.0,1995,10,2.9425279049104813,C,C,,C,0.00029983191421302947,286.18196793472646,1353.4602337330032,782.5245058357536,63042.81464903021,36.6602856913725,45.18269522484703,,0.0,-397.1,,5.678459145058074,284.68439443940457,36.69160666392766,5666.4918435052095,5747.629863035555,1935.2360530498581,,26.848198707514836,340.499916663601,48.638391640199956,3705.025895507943,3975.017776601209,1742.4841405578525,,15.522517158815646,535.0955253005544,369.76846379724134,2536.168599072965,2775.3402736517714,1346.7504673233937,,,,,,,,,4.596453451595959,C
